id,wd,ovbd,od,mud,sh,lithol,interc,d0,d6,d12,d18,d24,d36,d48,d60,d72,d96,d120,d144
36,0,1666.666667,12.25,14,50,0,0.5,-9.83E-05,-0.000101819,-0.00010462,-0.000106761,-0.000108698,-0.000112052,-0.000114787,-0.0001175,-0.000119462,-0.00012348,-0.00012698,-0.000130191
37,1000,1666.666667,17.5,10,50,0,0.5,-0.000233943,-0.000282223,-0.000302571,-0.000316806,-0.000330552,-0.000348663,-0.000363165,-0.000377582,-0.000387754,-0.000407087,-0.000423966,-0.000438954
38,1000,1666.666667,17.5,12,50,0,0.5,-0.000139385,-0.000142248,-0.000144574,-0.000146551,-0.000148283,-0.000151322,-0.000153868,-0.0001564,-0.000158289,-0.000161999,-0.000165377,-0.000168358
39,1000,1666.666667,17.5,14,50,0,0.5,-4.48E-05,-4.48E-05,-4.49E-05,-4.49E-05,-4.49E-05,-4.50E-05,-4.50E-05,-4.51E-05,-4.51E-05,-4.52E-05,-4.53E-05,-4.54E-05
40,1000,1666.666667,14.75,10,50,0,0.5,-0.000197201,-0.000237905,-0.000255022,-0.00026702,-0.000278614,-0.000293868,-0.00030606,-0.000318192,-0.000326726,-0.000343044,-0.000357327,-0.000370005
41,1000,1666.666667,14.75,12,50,0,0.5,-0.000117494,-0.000119875,-0.000121785,-0.000123463,-0.000124944,-0.000127547,-0.000129724,-0.00013189,-0.000133463,-0.000136627,-0.000139473,-0.000141988
42,1000,1666.666667,14.75,14,50,0,0.5,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.79E-05,-3.79E-05,-3.79E-05,-3.80E-05,-3.80E-05,-3.81E-05,-3.82E-05,-3.82E-05
43,1000,1666.666667,12.25,10,50,0,0.5,-0.00016379,-0.00019803,-0.000211906,-0.00022261,-0.000230221,-0.000243625,-0.000254183,-0.000263138,-0.00027104,-0.000284658,-0.000296561,-0.000307108
44,1000,1666.666667,12.25,12,50,0,0.5,-9.76E-05,-9.94E-05,-0.000101041,-0.000102388,-0.00010364,-0.000105864,-0.000107741,-0.000109614,-0.000110985,-0.000113723,-0.000116175,-0.000118323
45,1000,1666.666667,12.25,14,50,0,0.5,-3.14E-05,-3.14E-05,-3.14E-05,-3.14E-05,-3.14E-05,-3.15E-05,-3.15E-05,-3.15E-05,-3.16E-05,-3.16E-05,-3.17E-05,-3.18E-05
46,2000,1666.666667,17.5,10,50,0,0.5,-0.000208023,-0.000230295,-0.000241564,-0.000250272,-0.000257085,-0.000268005,-0.00027688,-0.000285697,-0.000291674,-0.000303726,-0.000313589,-0.000322619
47,2000,1666.666667,17.5,12,50,0,0.5,-7.87E-05,-7.88E-05,-7.89E-05,-7.90E-05,-7.90E-05,-7.92E-05,-7.94E-05,-7.96E-05,-7.98E-05,-8.02E-05,-8.06E-05,-8.09E-05
49,2000,1666.666667,14.75,10,50,0,0.5,-0.000175352,-0.000194932,-0.000203758,-0.000211112,-0.000216833,-0.00022605,-0.000233506,-0.000240915,-0.000245951,-0.000256121,-0.000264465,-0.000272092
50,2000,1666.666667,14.75,12,50,0,0.5,-6.63E-05,-6.64E-05,-6.65E-05,-6.65E-05,-6.66E-05,-6.68E-05,-6.70E-05,-6.71E-05,-6.73E-05,-6.76E-05,-6.79E-05,-6.82E-05
52,2000,1666.666667,12.25,10,50,0,0.5,-0.000145643,-0.00016114,-0.000169353,-0.000175081,-0.000180767,-0.000187913,-0.000194423,-0.000199594,-0.000204317,-0.000212695,-0.000219947,-0.000226152
53,2000,1666.666667,12.25,12,50,0,0.5,-5.51E-05,-5.51E-05,-5.52E-05,-5.53E-05,-5.53E-05,-5.55E-05,-5.56E-05,-5.57E-05,-5.59E-05,-5.61E-05,-5.64E-05,-5.66E-05
55,0,2833.333333,17.5,10,50,0,0.5,-0.000436983,-0.001697474,-0.002070787,-0.002345774,-0.00257273,-0.002948121,-0.003262038,-0.003538417,-0.00378924,-0.004239539,-0.004644654,-0.005020151
56,0,2833.333333,17.5,12,50,0,0.5,-0.000336624,-0.000847624,-0.001000787,-0.001111582,-0.00120219,-0.001350271,-0.001473459,-0.00158143,-0.001677972,-0.001853483,-0.002011949,-0.002158787
57,0,2833.333333,17.5,14,50,0,0.5,-0.000236266,-0.000382368,-0.00043108,-0.000466468,-0.000496202,-0.000544754,-0.00058339,-0.000617577,-0.000649096,-0.000706609,-0.000759275,-0.000808864
58,0,2833.333333,14.75,10,50,0,0.5,-0.000368353,-0.001431932,-0.001746398,-0.00197981,-0.002171377,-0.002488178,-0.002753159,-0.002986763,-0.003198695,-0.003579403,-0.003921948,-0.004239537
59,0,2833.333333,14.75,12,50,0,0.5,-0.000283756,-0.000715976,-0.000844543,-0.000937824,-0.001014823,-0.001139483,-0.001242925,-0.001336281,-0.001417475,-0.001564969,-0.001698324,-0.001822418
60,0,2833.333333,14.75,14,50,0,0.5,-0.000199159,-0.000322048,-0.000363876,-0.000393782,-0.000418808,-0.000459206,-0.000491865,-0.000520847,-0.000547325,-0.000595934,-0.000640596,-0.000682524
61,0,2833.333333,12.25,10,50,0,0.5,-0.000305944,-0.001189468,-0.001451487,-0.001644289,-0.001804,-0.002067595,-0.00228821,-0.002482667,-0.002659043,-0.002975787,-0.003260976,-0.003525391
62,0,2833.333333,12.25,12,50,0,0.5,-0.000235681,-0.000594894,-0.000701541,-0.000779104,-0.000842909,-0.000946441,-0.001032764,-0.001108115,-0.001176613,-0.001299646,-0.001410839,-0.001514223
63,0,2833.333333,12.25,14,50,0,0.5,-0.000165417,-0.000267929,-0.000302031,-0.000326909,-0.000347362,-0.00038,-0.000407362,-0.000431681,-0.000453938,-0.000498964,-0.000533658,-0.000565987
64,1000,2833.333333,17.5,10,50,0,0.5,-0.000411063,-0.00124321,-0.001480589,-0.001654106,-0.001796178,-0.002030086,-0.00222304,-0.002389244,-0.002539291,-0.002803519,-0.003037536,-0.00325046
65,1000,2833.333333,17.5,12,50,0,0.5,-0.000275898,-0.000481411,-0.000546801,-0.000592183,-0.000630826,-0.00069018,-0.000739373,-0.000782156,-0.000819893,-0.000887291,-0.000946371,-0.001000694
66,1000,2833.333333,17.5,14,50,0,0.5,-0.000140733,-0.000152825,-0.000159251,-0.000164538,-0.000169082,-0.000176969,-0.000183547,-0.000189554,-0.000195561,-0.000205817,-0.000215842,-0.0002253
